Tunes,Delay Times,Count,Average,Reverse Probability,Probability
file_example_WAV_1MG 1.wav,62.0,2.0,31.0,0.3608247422680413,0.3608247422680413
file_example_WAV_1MG.wav,70.0,4.0,17.5,0.6391752577319587,0.6391752577319587
